song_ranking,artist_name,song_title,track_spotify_ID,artist_spotify_ID,song_duration[ms],song_release_date,spotify_popularity,album_name,album_type,song_ID,artist_ID,album_ID
33,Post Malone & The Weeknd,One Right Now,00Blm7zeNqgYLPtW6zg8cj,246dkjvS1zLTtiykXe5h60,193506,2021-11-05,93,One Right Now,single,33,33,33
34,Doja Cat Featuring SZA,Kiss Me More,748mdHapucXQri7IAO8yFK,5cj0lLjcoR7YOSnhnX0Po5,208866,2021-04-09,91,Kiss Me More (feat. SZA),single,34,34,34
35,Gene Autry,Rudolph The Red-Nosed Reindeer,47otoIkhx3fkdivEXL5OB6,0MHgLfmQdutffmvWe5XBTN,130026,1965-01-01,80,Have A Holly Jolly Christmas,album,35,35,35
36,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,66CXWjxzNUsdJxJ2JdwvnR,204093,2014-11-24,92,Santa Tell Me,single,36,36,36
37,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,4dpARuHxo51G3z768sgnrY,225148,2021-11-19,94,30,album,37,37,37
38,The Weeknd & Ariana Grande,Save Your Tears,37BZB0z9T8Xu7U3e65qxFy,1Xyo4u8uXC1ZmMpatF05PJ,191013,2021-04-23,92,Save Your Tears (Remix),single,38,38,38
39,Justin Bieber,Ghost,135Lf4Q0CzlMNfOxbEUsLH,22wbnEMDvgVIAGdFeek6ET,193733,2021-10-15,88,GHOST TOWN,single,39,39,39
40,Chuck Berry,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,293zczrfYafIItmnmM3coR,165733,1986-01-01,84,Rock 'N' Roll Rarities,album,40,40,40
41,Drake Featuring 21 Savage & Project Pat,Knife Talk,2BcMwX1MPV6ZHP4tUT9uq6,3TVXtAsR1Inumwj472S9r4,242965,2021-09-03,91,Certified Lover Boy,album,41,41,41
42,Jason Aldean & Carrie Underwood,If I Didn't Love You,5f3MXmTmstozFg0BH1yPUk,3FfvYsEGaIb52QPXhg4DcH,212030,2021-07-23,78,If I Didn't Love You,single,42,42,42
43,Lil Nas X,Thats What I Want,0e8nrvls4Qqv5Rfa2UhqmO,7jVv8c5Fj3E9VhNjxT4snq,143901,2021-09-17,94,MONTERO,album,43,43,43
44,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,6qqNVTkY8uBg9cP3Jd7DAH,298899,2021-07-30,94,Happier Than Ever,album,44,44,44
45,NEIKED X Mae Muller X Polo G,Better Days,6f5ExP43esnvdKPddwKXJH,5H6xmHXjsq98NLbEjuE29f,160656,2021-09-24,91,Better Days (NEIKED x Mae Muller x Polo G),single,45,45,45
46,Perry Como,(There's No Place Like) Home For The Holidays,2GapxG7BxK55ihQRAlR39e,5v8jlSmAQfrkTjAlpUfWtu,178293,2001-05-21,75,A Perry Como Christmas,album,46,46,46
47,CKay,Love Nwantiti (Ah Ah Ah),2Xr1dTzJee307rmrkt8c0g,048LktY5zMnakWq7PTtFrz,145800,2019-08-30,95,CKay The First,album,47,47,47
48,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,64H8UqGLbJFHwKtGxiV8OP,162680,2020-03-13,92,THE ANXIETY,album,48,48,48
49,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,7DhvNzyMM8jJWcfykG3psB,1dID9zgn0OV0Y8ud7Mh2tS,170560,2021-03-19,78,Thinking 'Bout You (feat. MacKenzie Porter),single,49,49,49
50,Drake Featuring Lil Baby,Girls Want Girls,37Nqx7iavZpotJSDXZWbJ3,3TVXtAsR1Inumwj472S9r4,221979,2021-09-03,87,Certified Lover Boy,album,50,50,50
51,Coldplay x BTS,My Universe,3FeVmId7tL5YN8B7R3imoM,4gzpq5DPGxSnKTe4SA8HAU,228000,2021-09-24,94,My Universe,single,51,51,51
