song_ID,song_title,album_name,track_spotify_ID,artist_spotify_ID,song_ranking,spotify_popularity,song_duration[ms],song_release_date
38,Save Your Tears,Save Your Tears (Remix),37BZB0z9T8Xu7U3e65qxFy,1Xyo4u8uXC1ZmMpatF05PJ,38,92.0,191013.0,2021-04-23
39,Ghost,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,22wbnEMDvgVIAGdFeek6ET,39,88.0,193733.0,2021-10-15
40,Run Rudolph Run,Rock 'N' Roll Rarities,2pnPe4pJtq7689i5ydzvJJ,293zczrfYafIItmnmM3coR,40,84.0,165733.0,1986-01-01
41,Knife Talk,Certified Lover Boy,2BcMwX1MPV6ZHP4tUT9uq6,3TVXtAsR1Inumwj472S9r4,41,91.0,242965.0,2021-09-03
42,If I Didn't Love You,If I Didn't Love You,5f3MXmTmstozFg0BH1yPUk,3FfvYsEGaIb52QPXhg4DcH,42,78.0,212030.0,2021-07-23
43,Thats What I Want,MONTERO,0e8nrvls4Qqv5Rfa2UhqmO,7jVv8c5Fj3E9VhNjxT4snq,43,94.0,143901.0,2021-09-17
44,Happier Than Ever,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,6qqNVTkY8uBg9cP3Jd7DAH,44,94.0,298899.0,2021-07-30
45,Better Days,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,5H6xmHXjsq98NLbEjuE29f,45,91.0,160656.0,2021-09-24
46,(There's No Place Like) Home For The Holidays,A Perry Como Christmas,2GapxG7BxK55ihQRAlR39e,5v8jlSmAQfrkTjAlpUfWtu,46,75.0,178293.0,2001-05-21
47,Love Nwantiti (Ah Ah Ah),CKay The First,2Xr1dTzJee307rmrkt8c0g,048LktY5zMnakWq7PTtFrz,47,95.0,145800.0,2019-08-30
48,Meet Me At Our Spot,THE ANXIETY,07MDkzWARZaLEdKxo6yArG,64H8UqGLbJFHwKtGxiV8OP,48,92.0,162680.0,2020-03-13
49,Thinking 'Bout You,Thinking 'Bout You (feat. MacKenzie Porter),7DhvNzyMM8jJWcfykG3psB,1dID9zgn0OV0Y8ud7Mh2tS,49,78.0,170560.0,2021-03-19
50,Girls Want Girls,Certified Lover Boy,37Nqx7iavZpotJSDXZWbJ3,3TVXtAsR1Inumwj472S9r4,50,87.0,221979.0,2021-09-03
51,My Universe,My Universe,3FeVmId7tL5YN8B7R3imoM,4gzpq5DPGxSnKTe4SA8HAU,51,94.0,228000.0,2021-09-24
52,Cold As You,What You See Ain't Always What You Get (Deluxe Edition),7IWV29mryrqtO0JVgnPtfv,718COspgdWOnwOFpJHRZHS,52,78.0,186106.0,2020-10-23
53,Who Want Smoke??,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4yNoUQkYf1QF8iYlEzNynH,0Njy6yR9LykNKYg9yE23QN,53,85.0,279853.0,2021-10-08
54,Buy Dirt,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,77kULmXAQ6vWer7IIHdGzI,54,81.0,167480.0,2021-05-21
55,Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,4A8cWXxKfIL3lAyUDzXbCF,2Pv9ZGQqEflbdavLk6rr0t,55,81.0,200547.0,2021-10-30
56,Pepas,Pepas,5fwSHlTEWpluwOM0Sxnh5k,329e4yvIujISKGKz1BZZbO,56,95.0,287120.0,2021-06-24
57,You Should Probably Leave,Starting Over,2UikqkwBv7aIvlixeVXHWt,4YLtscXsxbVgi031ovDDdh,57,76.0,213493.0,2020-11-13
58,By Your Side,By Your Side,2AaJeBEq3WLcfFW1y8svDf,45TgXXqMDdF8BkjA83OM7z,58,79.0,194050.0,2021-11-22
59,Chosen,No Love Lost (Deluxe),1dIWPXMX4kRHj6Dt2DStUQ,4qXC0i02bSFstECuXP2ZpL,59,86.0,161684.0,2020-12-04
60,Same Boat,Same Boat,2VmccNZz4zFmlcXstY8a2D,6yJCxee7QumYr820xdIsjo,60,69.0,190451.0,2021-06-11
61,Whiskey And Rain,Whiskey And Rain,1tf4Bfk8JIKryLpWYRvyiI,6ghiFYcwn2Vzl6K50U0UPz,61,75.0,206506.0,2020-09-25
62,Have Mercy,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,1FtBEIWAwvw5ymBen5GICR,62,84.0,148778.0,2021-09-10
63,Wild Side,Wild Side (feat. Cardi B),2vXgyN14LX2zl7JEASw242,2cWZOOzeOm4WmBJRnD5R7I,63,81.0,209476.0,2021-07-22
64,Sand In My Boots,Dangerous: The Double Album,0uRrG2jRR5tuifsYIJHEao,4oUHIQIBe0LHzYfvXNW4QM,64,79.0,202133.0,2021-01-08
