song_ID,song_title,track_spotify_ID,song_ranking,spotify_popularity,artist_spotify_ID,song_duration[ms],album_name,song_release_date
38,Save Your Tears,37BZB0z9T8Xu7U3e65qxFy,38,92.0,1Xyo4u8uXC1ZmMpatF05PJ,191013.0,Save Your Tears (Remix),2021-04-23
39,Ghost,135Lf4Q0CzlMNfOxbEUsLH,39,88.0,22wbnEMDvgVIAGdFeek6ET,193733.0,GHOST TOWN,2021-10-15
40,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,40,84.0,293zczrfYafIItmnmM3coR,165733.0,Rock 'N' Roll Rarities,1986-01-01
41,Knife Talk,2BcMwX1MPV6ZHP4tUT9uq6,41,91.0,3TVXtAsR1Inumwj472S9r4,242965.0,Certified Lover Boy,2021-09-03
42,If I Didn't Love You,5f3MXmTmstozFg0BH1yPUk,42,78.0,3FfvYsEGaIb52QPXhg4DcH,212030.0,If I Didn't Love You,2021-07-23
43,Thats What I Want,0e8nrvls4Qqv5Rfa2UhqmO,43,94.0,7jVv8c5Fj3E9VhNjxT4snq,143901.0,MONTERO,2021-09-17
44,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,44,94.0,6qqNVTkY8uBg9cP3Jd7DAH,298899.0,Happier Than Ever,2021-07-30
45,Better Days,6f5ExP43esnvdKPddwKXJH,45,91.0,5H6xmHXjsq98NLbEjuE29f,160656.0,Better Days (NEIKED x Mae Muller x Polo G),2021-09-24
46,(There's No Place Like) Home For The Holidays,2GapxG7BxK55ihQRAlR39e,46,75.0,5v8jlSmAQfrkTjAlpUfWtu,178293.0,A Perry Como Christmas,2001-05-21
47,Love Nwantiti (Ah Ah Ah),2Xr1dTzJee307rmrkt8c0g,47,95.0,048LktY5zMnakWq7PTtFrz,145800.0,CKay The First,2019-08-30
48,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,48,92.0,64H8UqGLbJFHwKtGxiV8OP,162680.0,THE ANXIETY,2020-03-13
49,Thinking 'Bout You,7DhvNzyMM8jJWcfykG3psB,49,78.0,1dID9zgn0OV0Y8ud7Mh2tS,170560.0,Thinking 'Bout You (feat. MacKenzie Porter),2021-03-19
50,Girls Want Girls,37Nqx7iavZpotJSDXZWbJ3,50,87.0,3TVXtAsR1Inumwj472S9r4,221979.0,Certified Lover Boy,2021-09-03
51,My Universe,3FeVmId7tL5YN8B7R3imoM,51,94.0,4gzpq5DPGxSnKTe4SA8HAU,228000.0,My Universe,2021-09-24
52,Cold As You,7IWV29mryrqtO0JVgnPtfv,52,78.0,718COspgdWOnwOFpJHRZHS,186106.0,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23
53,Who Want Smoke??,4yNoUQkYf1QF8iYlEzNynH,53,85.0,0Njy6yR9LykNKYg9yE23QN,279853.0,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",2021-10-08
54,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,54,81.0,77kULmXAQ6vWer7IIHdGzI,167480.0,Buy Dirt,2021-05-21
55,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,55,81.0,2Pv9ZGQqEflbdavLk6rr0t,200547.0,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,2021-10-30
56,Pepas,5fwSHlTEWpluwOM0Sxnh5k,56,95.0,329e4yvIujISKGKz1BZZbO,287120.0,Pepas,2021-06-24
57,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,57,76.0,4YLtscXsxbVgi031ovDDdh,213493.0,Starting Over,2020-11-13
58,By Your Side,2AaJeBEq3WLcfFW1y8svDf,58,79.0,45TgXXqMDdF8BkjA83OM7z,194050.0,By Your Side,2021-11-22
59,Chosen,1dIWPXMX4kRHj6Dt2DStUQ,59,86.0,4qXC0i02bSFstECuXP2ZpL,161684.0,No Love Lost (Deluxe),2020-12-04
60,Same Boat,2VmccNZz4zFmlcXstY8a2D,60,69.0,6yJCxee7QumYr820xdIsjo,190451.0,Same Boat,2021-06-11
61,Whiskey And Rain,1tf4Bfk8JIKryLpWYRvyiI,61,75.0,6ghiFYcwn2Vzl6K50U0UPz,206506.0,Whiskey And Rain,2020-09-25
62,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,62,84.0,1FtBEIWAwvw5ymBen5GICR,148778.0,Have Mercy,2021-09-10
63,Wild Side,2vXgyN14LX2zl7JEASw242,63,81.0,2cWZOOzeOm4WmBJRnD5R7I,209476.0,Wild Side (feat. Cardi B),2021-07-22
64,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,64,79.0,4oUHIQIBe0LHzYfvXNW4QM,202133.0,Dangerous: The Double Album,2021-01-08
65,One Mississippi,4FdPnT2cFrpWCmWZd7GXc3,65,76.0,3oSJ7TBVCWMDMiYjXNiCKE,213718.0,One Mississippi,2021-08-20
